Category,Technique_Used,Strength,Guidance,L1,L2,MS_SSIM,LPIPS,Max_Patch,Label
bottle,Text_Encoder_LoRA,0.35,5.5,0.02849334105849266,0.0019229443278163671,0.8774213194847107,0.239919051527977,0.07715879380702972,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.027284186333417892,0.0018941862508654594,0.8900267481803894,0.22087641060352325,0.11510909348726273,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.027772288769483566,0.0017508919117972255,0.8642487525939941,0.234846830368042,0.05329156666994095,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.025029024109244347,0.0014212047681212425,0.8890304565429688,0.2559077739715576,0.03928758576512337,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.0284956656396389,0.002110111992806196,0.8814939856529236,0.21152615547180176,0.10417737811803818,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.02929646335542202,0.0021686824038624763,0.8830618858337402,0.2156187891960144,0.0613035187125206,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.028584744781255722,0.001993634272366762,0.8731429576873779,0.24182148277759552,0.08122657239437103,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.026470011100172997,0.0015964366029947996,0.8781399726867676,0.24745391309261322,0.08096059411764145,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.02793678268790245,0.0019472925923764706,0.8841569423675537,0.23869331181049347,0.1107083261013031,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.02694394811987877,0.0017393529415130615,0.8867003321647644,0.21083062887191772,0.07097466289997101,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.025993164628744125,0.0015285330591723323,0.8916301131248474,0.21954728662967682,0.04989318549633026,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.027526287361979485,0.0019834681879729033,0.881373405456543,0.21693770587444305,0.14451062679290771,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.02786112390458584,0.002101416466757655,0.8831886649131775,0.22072194516658783,0.11913616210222244,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.029848990961909294,0.0020725387148559093,0.8616294860839844,0.2641889750957489,0.05619503930211067,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.028088640421628952,0.00190803874284029,0.8866630792617798,0.21366716921329498,0.1188754141330719,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.028322529047727585,0.0020264252088963985,0.8831256628036499,0.22854331135749817,0.0922391340136528,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.02754233404994011,0.0019845005590468645,0.8900609016418457,0.24022096395492554,0.09043596684932709,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.02750890515744686,0.0018757625948637724,0.8749992847442627,0.23524078726768494,0.08638637512922287,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.0307451244443655,0.002342314925044775,0.8668127059936523,0.2511839270591736,0.08043341338634491,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.028476443141698837,0.0019414437701925635,0.8802040815353394,0.22112804651260376,0.05446209758520126,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.02785347029566765,0.0018864263547584414,0.8840150237083435,0.20680728554725647,0.07570277154445648,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.02827790379524231,0.0020555583760142326,0.8943967819213867,0.19924922287464142,0.09298107028007507,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.03031109645962715,0.002437186660245061,0.8713918924331665,0.22566525638103485,0.1506483107805252,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.02998773567378521,0.0024179734755307436,0.8783515691757202,0.22865866124629974,0.15698549151420593,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.028320398181676865,0.0022075874730944633,0.8964828252792358,0.2102402150630951,0.09077466279268265,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.027621224522590637,0.0017822214867919683,0.8881338834762573,0.20744076371192932,0.06198180466890335,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.027929503470659256,0.0019471956184133887,0.8897573947906494,0.21768656373023987,0.09851645678281784,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.02718462608754635,0.0018871743232011795,0.8999625444412231,0.19957923889160156,0.10474593192338943,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.028228042647242546,0.0019255898660048842,0.8720471262931824,0.2149014174938202,0.07374541461467743,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.02654421702027321,0.0017919925739988685,0.9012576341629028,0.19254562258720398,0.10003358870744705,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.027968209236860275,0.002046306151896715,0.8961336016654968,0.20345060527324677,0.0703008621931076,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.026647571474313736,0.001691844081506133,0.9031084775924683,0.21580293774604797,0.06098237261176109,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.030018001794815063,0.0025608546566218138,0.8850962519645691,0.23095563054084778,0.08845292776823044,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.027974635362625122,0.0018234611488878727,0.8803956508636475,0.22560474276542664,0.09162994474172592,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.027983343228697777,0.0018605806399136782,0.8834697604179382,0.21585935354232788,0.12559175491333008,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.028214305639266968,0.002012271201238036,0.8744524717330933,0.219173401594162,0.07886708527803421,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.027592699974775314,0.0016859904862940311,0.8812158107757568,0.2201022505760193,0.041994012892246246,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.028986340388655663,0.002113770227879286,0.8883498907089233,0.20868521928787231,0.0823592022061348,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.028582533821463585,0.0023279045708477497,0.8913493156433105,0.21741315722465515,0.18689723312854767,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.027859313413500786,0.0018139106687158346,0.8817275762557983,0.22349809110164642,0.0977398157119751,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.02858506701886654,0.002144761383533478,0.8835499286651611,0.24697542190551758,0.1433699131011963,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.028877682983875275,0.0020701729226857424,0.8866839408874512,0.20754104852676392,0.0911039263010025,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.02701788768172264,0.001594132510945201,0.8805283904075623,0.2029534876346588,0.07450428605079651,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.026423072442412376,0.0014879244845360518,0.8748235106468201,0.21337667107582092,0.04222492128610611,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.027631832286715508,0.0017408517887815833,0.8809667825698853,0.20664706826210022,0.07312655448913574,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.028275808319449425,0.0020246999338269234,0.8825669288635254,0.21853139996528625,0.05538007616996765,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.02702147513628006,0.0016034006839618087,0.8966099619865417,0.21366122364997864,0.03261909261345863,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.031356219202280045,0.002243412658572197,0.8618305921554565,0.20843765139579773,0.07035497575998306,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.0324462465941906,0.002273112302646041,0.8457207083702087,0.2251715213060379,0.04276058077812195,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.03125359117984772,0.0023585972376167774,0.8570963740348816,0.23147155344486237,0.07463288307189941,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.026287809014320374,0.0014400111977010965,0.8685040473937988,0.2066321074962616,0.07810834795236588,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.027123188599944115,0.0016368654323741794,0.8765203356742859,0.20663920044898987,0.06731653213500977,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.03010883741080761,0.0019102849764749408,0.8463684916496277,0.20569512248039246,0.04872141405940056,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.028427284210920334,0.0017389602726325393,0.8775598406791687,0.20506131649017334,0.04603045806288719,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.02962336502969265,0.00191385461948812,0.8640167117118835,0.23368941247463226,0.09652161598205566,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.026729565113782883,0.0015893736854195595,0.8884758949279785,0.20630952715873718,0.06836816668510437,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.027243521064519882,0.0018002891447395086,0.8915569186210632,0.2124890685081482,0.09118671715259552,1
