Strength,Guidance,AUC,Precision,Recall,Threshold,F1_Score,Accuracy
0.32,7.0,0.6929,0.86,0.6825,0.2411,0.7610372771474878,0.6746735780330625
0.4,8.5,0.7817,0.9302,0.6349,0.2713,0.7546916874321129,0.6867143674245466
0.4,9.5,0.7913,0.9302,0.6349,0.2711,0.7546916874321129,0.6867143674245466
0.4,9.0,0.7841,0.9302,0.6349,0.2712,0.7546916874321129,0.6867143674245466
0.42,9.0,0.7841,0.9302,0.6349,0.2712,0.7546916874321129,0.6867143674245466
0.42,10.0,0.7984,0.9302,0.6349,0.2713,0.7546916874321129,0.6867143674245466
0.4,10.0,0.7984,0.9302,0.6349,0.2713,0.7546916874321129,0.6867143674245466
0.42,8.5,0.7817,0.9302,0.6349,0.2713,0.7546916874321129,0.6867143674245466
0.42,9.5,0.7913,0.9302,0.6349,0.2711,0.7546916874321129,0.6867143674245466
0.48,5.0,0.7524,0.8913,0.6508,0.2786,0.7522962713183322,0.6747003232046328
0.29,9.0,0.669,0.8571,0.6667,0.2341,0.7500046856542852,0.6626421657227439
0.29,7.0,0.6714,0.8571,0.6667,0.2332,0.7500046856542852,0.6626421657227439
0.29,10.0,0.669,0.8571,0.6667,0.2347,0.7500046856542852,0.6626421657227439
0.29,9.5,0.6698,0.8571,0.6667,0.2333,0.7500046856542852,0.6626421657227439
0.35,5.0,0.7119,0.8571,0.6667,0.2504,0.7500046856542852,0.6626421657227439
0.29,8.5,0.669,0.8571,0.6667,0.2338,0.7500046856542852,0.6626421657227439
0.45,8.0,0.7833,0.9091,0.6349,0.2775,0.7476523186528499,0.674689999774701
0.45,5.0,0.7317,0.8723,0.6508,0.2733,0.7454439498391439,0.6626284734029549
0.29,8.0,0.669,0.8542,0.6508,0.2344,0.7387552956810632,0.6506289737738122
0.29,7.5,0.6722,0.8542,0.6508,0.2333,0.7387552956810632,0.6506289737738122
0.4,7.0,0.7548,0.907,0.619,0.2714,0.7358230668414154,0.6626314475099959
0.4,6.5,0.7516,0.907,0.619,0.2711,0.7358230668414154,0.6626314475099959
0.42,6.5,0.7516,0.907,0.619,0.2711,0.7358230668414154,0.6626314475099959
0.45,7.5,0.7635,0.907,0.619,0.2773,0.7358230668414154,0.6626314475099959
0.42,7.0,0.7548,0.907,0.619,0.2714,0.7358230668414154,0.6626314475099959
0.42,8.0,0.7714,0.9268,0.6032,0.2713,0.7307787712418301,0.6626527572525752
0.4,8.0,0.7714,0.9268,0.6032,0.2713,0.7307787712418301,0.6626527572525752
0.45,7.0,0.7516,0.9048,0.6032,0.2773,0.72384,0.6506409638554217
0.4,5.0,0.7421,0.8837,0.6032,0.2706,0.7169921850830587,0.6385586865738386
0.42,5.0,0.7421,0.8837,0.6032,0.2706,0.7169921850830587,0.6385586865738386
0.52,8.0,0.8262,1.0,0.5556,0.2955,0.7143224479300591,0.6626843373493976
0.5,8.0,0.8262,1.0,0.5556,0.2955,0.7143224479300591,0.6626843373493976
0.55,9.5,0.8262,0.9474,0.5714,0.3089,0.7128579931524889,0.6505971874833089
0.45,6.5,0.7492,0.9024,0.5873,0.2766,0.7115251661408337,0.6385317803127404
0.48,9.0,0.8111,0.9722,0.5556,0.2881,0.7071008247152768,0.6506252657616683
0.48,8.5,0.804,0.9722,0.5556,0.2871,0.7071008247152768,0.6506252657616683
0.38,9.5,0.7675,0.9231,0.5714,0.2668,0.7058673001003681,0.6385460834563473
0.42,7.5,0.7643,0.9231,0.5714,0.2727,0.7058673001003681,0.6385460834563473
0.4,7.5,0.7643,0.9231,0.5714,0.2727,0.7058673001003681,0.6385460834563473
0.52,7.5,0.8214,1.0,0.5397,0.2965,0.7010456582451127,0.6506156626506023
0.5,7.5,0.8214,1.0,0.5397,0.2965,0.7010456582451127,0.6506156626506023
0.55,8.5,0.8151,0.9459,0.5556,0.3074,0.7000226973026972,0.6385643689888001
0.4,6.0,0.7476,0.9,0.5714,0.2719,0.6990077477232568,0.6264867469879518
0.42,6.0,0.7476,0.9,0.5714,0.2719,0.6990077477232568,0.6264867469879518
0.29,6.0,0.6762,0.8605,0.5873,0.2379,0.6981235667909933,0.6144778239045666
0.55,7.0,0.7929,0.9714,0.5397,0.3047,0.6938846932698035,0.6385546767676015
0.55,6.5,0.7944,0.9714,0.5397,0.3039,0.6938846932698035,0.6385546767676015
0.5,7.0,0.8071,1.0,0.5238,0.2961,0.6874917968237302,0.6385469879518072
0.48,9.5,0.8087,1.0,0.5238,0.289,0.6874917968237302,0.6385469879518072
0.48,10.0,0.8111,1.0,0.5238,0.2896,0.6874917968237302,0.6385469879518072
0.52,7.0,0.8071,1.0,0.5238,0.2961,0.6874917968237302,0.6385469879518072
0.55,6.0,0.7944,0.9706,0.5238,0.304,0.680407226980728,0.6265039794041197
0.48,8.0,0.8048,1.0,0.5079,0.2888,0.6736520989455534,0.6264783132530121
0.55,5.5,0.7944,0.9697,0.5079,0.3041,0.6666359366540335,0.6144322288224777
0.55,7.5,0.7905,0.9697,0.5079,0.3066,0.6666359366540335,0.6144322288224777
0.52,6.5,0.8079,1.0,0.4921,0.2966,0.6596072649286241,0.6144855421686747
0.55,9.0,0.8278,1.0,0.4921,0.3141,0.6596072649286241,0.6144855421686747
0.5,6.5,0.8079,1.0,0.4921,0.2966,0.6596072649286241,0.6144855421686747
0.55,8.0,0.8056,0.9688,0.4921,0.312,0.6526750359367512,0.6024563548993662
0.35,5.5,0.7127,0.9583,0.3651,0.2679,0.5287521988816685,0.5060290195112078
