Category,Technique_Used,Strength,Guidance,L1,L2,MS_SSIM,LPIPS,Max_Patch,Label
bottle,Text_Encoder_LoRA,0.35,5.5,0.07544424384832382,0.014542045071721077,0.6065667867660522,0.3758544623851776,0.239073246717453,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.0700346827507019,0.013542833738029003,0.6467264890670776,0.3602355122566223,0.2979044020175934,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.06481406092643738,0.010899780318140984,0.6430138945579529,0.3505293130874634,0.22488300502300262,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.5270212888717651,0.4132835566997528,0.243076354265213,0.618056058883667,1.0,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.5450567603111267,0.42450055480003357,0.20249012112617493,0.605765700340271,1.0,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.548588216304779,0.42868882417678833,0.20221571624279022,0.6001368761062622,1.0,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.06544037163257599,0.011433395557105541,0.6571635007858276,0.36240050196647644,0.23753100633621216,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.06624571979045868,0.012163182720541954,0.6457154750823975,0.3889927864074707,0.208149716258049,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.07185976207256317,0.014276186004281044,0.630995512008667,0.37399083375930786,0.2673088014125824,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.07843098044395447,0.01615406945347786,0.6019829511642456,0.38449209928512573,0.3172062337398529,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.06374679505825043,0.011124061420559883,0.6671059131622314,0.34863537549972534,0.3620830178260803,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.5394778251647949,0.42161282896995544,0.21026712656021118,0.603017270565033,1.0,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.07011492550373077,0.014323624782264233,0.6683441400527954,0.3488173484802246,0.3170566260814667,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.07306292653083801,0.014421979896724224,0.637041449546814,0.35731908679008484,0.3109873831272125,1
bottle,Text_Encoder_LoRA,0.35,5.5,0.07015351951122284,0.013684337958693504,0.6608660221099854,0.3341805338859558,0.3017062246799469,1
