Category,Accuracy,F1,Recall,Precision
bottle,0.8809523809523809,0.9230769230769231,0.9375,0.9090909090909091
capsule,0.7272727272727273,0.8421052631578947,0.8888888888888888,0.8
pill,0.8333333333333334,0.9078947368421053,0.971830985915493,0.8518518518518519
toothbrush,0.6666666666666666,0.7741935483870968,0.8,0.75
all,0.7830188679245284,0.8783068783068783,0.9707602339181286,0.8019323671497585
